mmtext	text
Dr. Doom	"

'''Always Leads''': Doombot Legion
'''Master Strike''': Each player with exactly 6 cards in hand reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or puts 2 cards from their hand on top of their deck.
Attack: 9
VP: 5

''Dark Technology''
'''Fight''': You may recruit a https://cf.geekdo-static.com/mbs/mb_26287_0.png or https://cf.geekdo-static.com/mbs/mb_26285_0.png Hero from the HQ for free.

''Monarch's Decree''
'''Fight''': Choose one: each other player draws a card or each other player discards a card.

''Secrets of Time Travel''
'''Fight''': Take another turn after this one.

''Treasures of Latveria''
'''Fight''': When you draw a new hand of cards at the end of this turn, draw three extra cards.

"
Loki	"

'''Always Leads''': Enemies of Asgard
'''Master Strike''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26286_0.png Hero or gains a Wound
Attack: 10
VP: 5

''Cruel Ruler''
'''Fight''': Defeat a Villain in the City for free.

''Maniacal Tyrant''
'''Fight''': KO up to four cards from your discard pile.

''Vanishing Illusions''
'''Fight''': Each other player KOs a Villain from their Victory Pile.

''Whispers and Lies''
'''Fight''': Each other player KOs two Bystanders from their Victory Pile.

"
Magneto	"

'''Always Leads''': Brotherhood
'''Master Strike''': Each player reveals an X-Men Hero or discards down to four cards.
Attack: 8
VP: 5

''Bitter Captor''
'''Fight''': Recruit an X-Men Hero from the HQ for free.

''Crushing Shockwave''
'''Fight''': Each other player reveals an X-Men Hero or gains two Wounds.

''Electromagnetic Bubble''
'''Fight''': Choose one of your X-Men Heroes. When you draw a new hand of cards at the end of this turn, add that Hero to your hand as a seventh card.

''Xavier's Nemesis''
'''Fight''': For each of your X-Men Heroes, rescue a Bystander.

"
Red Skull	"

'''Always Leads''': HYDRA
'''Master Strike''': Each player KOs a Hero from their hand.
Attack: 7
VP: 5

''Endless Resources''
'''Fight''': You get +4 Recruit.

''HYDRA Conspiracy''
'''Fight''': Draw two cards. Then draw another card for each HYDRA Villain in your Victory Pile.

''Negablast Grenades''
'''Fight''': You get +3 Attack.

''Ruthless Dictator''
'''Fight''': Look at the top three cards of your deck. KO one, discard one and put one back on top of your deck.



"
Apocalypse	"

'''Always Leads''': Four Horsemen
Four Horsemen Villains get +2 Attack
Apocalypse Wins: When Famine, Pestilence, War, and Death have escaped
'''Master Strike''': Each player reveals their hand and puts all their Heroes that cost 1 or more on top of their deck.
Attack: 12
VP: 6

''Apocalyptic Destruction''
'''Fight''': Each other player KOs two Heroes from their discard pile that each cost 1 or more.

''The End of All Things''
'''Fight''': Each other player reveals the top three cards of their deck, KOs each one of those cards that cost 1 or more, and puts the rest back in any order.

''Horsemen Are Drawing Nearer''
'''Fight''': Each other player plays a Four Horsemen Villain from their Victory Pile as if playing it from the Villain Deck.

''Immortal and Undefeated''
'''Fight''': If this is not the final Tactic, rescue six Bystanders and shuffle this Tactic back into the other Tactics.

"
Kingpin	"

Bribe
'''Always Leads''': Streets of New York
'''Master Strike''': Each player reveals a Marvel Knights Hero or discards their hand and draws 5 cards.
Attack: 13*
VP: 6

''Call a Hit''
'''Fight''': Choose a Hero from each player's discard pile and KO it.

''Criminal Empire''
'''Fight''': If this is not the final Tactic, reveal the top three cards of the Villain Deck. Play all the Villains you revealed. Put the rest back in random order.

''Dirty Cops''
'''Fight''': Put a 0 Cost Hero from the KO pile on top of each other player's deck.

''Mob War''
'''Fight''': Each other player plays a Henchman Villain from their Victory Pile as if playing it from the Villain Deck.

"
Mephisto	"

Whenever a player gains a Wound, put it on top of that player's deck.
'''Always Leads''': Underworld
'''Master Strike''': Each player reveals a Marvel Knights Hero or gains a Wound.
Attack: 10
VP: 6

''Damned If You Do...''
'''Fight''': Each other player KOs a Bystander from their Victory Pile or gains a Wound.

''Devilish Torment''
'''Fight''': Each other player puts all 0 Cost cards from their discard pile on top of their deck in any order.

''Pain Begets Pain''
'''Fight''': Choose any number of Wounds from your hand and discard pile. The player to your right gains them.

''The Price of Failure''
'''Fight''': Each other player without a Mastermind Tactic in their Victory Pile gains a Wound.

"
Mr. Sinister	"

Mr. Sinister gets +1 Attack for each Bystander he has.
'''Always Leads''': Marauders
'''Master Strike''': Mr. Sinister captures a Bystander. Then each player with exactly 6 cards reveals a https://cf.geekdo-static.com/mbs/mb_26283_0.png Hero or discards cards equal to the number of Bystanders Mr. Sinister has.
Attack: 8
VP: 6

''Human Experimentation''
'''Fight''': Mr. Sinister captures Bystanders equal to the number of Villains in the city.

''Master Geneticist''
'''Fight''': Reveal the top seven cards of the Villain Deck. Mr. Sinister captures all of the Bystanders you revealed. Put the rest back in random order.

''Plans Within Plans''
'''Fight''': Mr. Sinister captures a Bystander for each Mr. Sinister Tactic in players' Victory Piles, including this Tactic.

''Telepathic Manipulation''
'''Fight''': Mr. Sinister captures a Bystander from each other player's Victory Pile.

"
Stryfe	"

'''Always Leads''': MLF
'''Master Strike''': Stack this Master Strike next to Stryfe.
Stryfe gets +1 Attack for each Master Strike stacked next to him. Each player reveals an X-Force Hero or discards a card at random.
Attack: 7
VP: 6

''Furious Wrath''
'''Fight''': Reveal the top six cards of the Villain Deck. Play all the Master Strikes you revealed. Put the rest back in random order.

''Psychic Torment''
'''Fight''': Look at the top five cards of your deck. Put one into your hand and discard the rest.

''Swift Vengeance''
'''Fight''': A Wound from the Wound Stack becomes a Master Strike that takes effect immediately.

''Tide of Retribution''
'''Fight''': Each other player reveals an X-Force Hero or gains a Wound.



"
Galactus	"

Cosmic Threat: https://cf.geekdo-static.com/mbs/mb_26286_0.png https://cf.geekdo-static.com/mbs/mb_26284_0.png https://cf.geekdo-static.com/mbs/mb_26283_0.png https://cf.geekdo-static.com/mbs/mb_26287_0.png https://cf.geekdo-static.com/mbs/mb_26285_0.png
'''Always Leads''': Heralds of Galactus
'''Master Strike''': Destroy the city space closest to Galactus. Any Villain there escapes. Put this Master Strike there.
Galactus Wins: When the city is destroyed.
Attack: 20*
VP: 7

''Cosmic Entity''
'''Fight''': Choose https://cf.geekdo-static.com/mbs/mb_26286_0.png, https://cf.geekdo-static.com/mbs/mb_26284_0.png, https://cf.geekdo-static.com/mbs/mb_26283_0.png, https://cf.geekdo-static.com/mbs/mb_26287_0.png or https://cf.geekdo-static.com/mbs/mb_26285_0.png. Each player reveals any number of cards of that class, then draws that many cards.

''Force of Eternity''
'''Fight''': When you draw a new hand of cards at the end of this turn, draw six extra cards, then discard six cards.

''Panicked Mobs''
'''Fight''': Choose https://cf.geekdo-static.com/mbs/mb_26286_0.png, https://cf.geekdo-static.com/mbs/mb_26284_0.png, https://cf.geekdo-static.com/mbs/mb_26283_0.png, https://cf.geekdo-static.com/mbs/mb_26287_0.png or https://cf.geekdo-static.com/mbs/mb_26285_0.png. Each player reveals any number of cards of that class, then rescues that many Bystanders.

''Sunder the Earth''
'''Fight''': Each other player KOs all Heroes from their discard pile with the same card name as a Hero in the HQ.

"
Mole Man	"

Mole Man gets +1 Attack for each Subterranea Villain that has escaped.
'''Always Leads''': Subterranea
'''Master Strike''': All Subterranea Villains in the city escape. If any Villains escaped this way, each player gains a Wound.
Attack: 7+
VP: 6

''Dig to Freedom''
'''Fight''': Each other player chooses a Subterranea Villain in their Victory Pile and puts it into the Escaped Villains pile.

''Master of Monsters''
'''Fight''': If this is not the final Tactic, reveal the top six cards of the Villain Deck. Play all the Subterranea Villains you revealed. Put the rest on the bottom of the Villain Deck in random order.

''Secret Tunnel''
'''Fight''': You get +6 Attack usable only against Villains in the Streets.

''Underground Riches''
'''Fight''': You get +6 Recruit usable only to recruit Heroes in the HQ space under the Streets.



"
Carnage	"

'''Always Leads''': Maximum Carnage
'''Master Strike''': Feast on each player. Whenever this Master Strike feasts on a player's 0-cost Hero, that player gains a Wound.
Attack: 9
VP: 6

''Drooling Jaws''
'''Fight''': Each player reveals the top card of their deck. Then Carnage feasts on the player of your choice.

''Endless Hunger''
Feast
If Carnage feasts on a 0-cost Hero this way, repeat this process.

''Feed Me''
Feast
You get +Recruit equal to the Cost of the card Carnage feasts on.

''Om Nom Nom''
Feast
If Carnage feasts on a 0-cost Hero this way, each other player KOs a Bystander from their Victory Pile.

"
Mysterio	"

'''Always Leads''': Sinister Six
'''Master Strike''': Shuffle this Master Strike into Mysterio's face down Mastermind Tactics. That card becomes a Mastermind Tactic worth 6 VP.
Attack: 8
VP: 6

''Blurring Images''
'''Fight''': You get +1 Recruit for each Mastermind Tactic Mysterio has left after this one.

''Captive Audience''
'''Fight''': Rescue a Bystander for each Mastermind Tactic Mysterio has left after this one.

''Master of Illusions''
'''Fight''': If this is not the final Tactic, shuffle a Master Strike Tactic from each other player's Victory Pile back into Mysterio's Mastermind Tactics.

''Mists of Deception''
'''Fight''': If this is not the final Tactic, reveal the top five cards of the Villain Deck. Play all the Master Strikes you revealed. Put the rest on the bottom of that deck in random order.



"
Dr. Strange	"

'''Always Leads''': Defenders.
Command Strike: Reveal the top three cards of the Adversary Deck. Put the Adversary you revealed with the highest printed Attack on top of that deck. Then play a Plot Twist from among the cards you revealed. Then put the rest of those cards on the bottom of that deck in random order.
Attack: 8
VP: 6

''Book of the Vishanti''
'''Fight''': Each other player reveals a https://cf.geekdo-static.com/mbs/mb_26283_0.png Ally or discards all the cards in their hand, then draws as many cards as they discarded.

''Crimson Bands of Cyttorak''
'''Fight''': Each other player reveals their hand, then gains a Bindings for each non-grey Ally that player has.

''Eye of Agamotto''
'''Fight''': Reveal cards from the Ally Deck equal to the number of players. Put one of those cards into each player's discard pile.

''Winds of Watoomb''
'''Fight''': After you draw a new hand of cards at the end of this turn, each player simultaneously passes a non-grey Ally from their hand to the hand of the player on their left.

"
Nick Fury	"

'''Always Leads''': Avengers.
Command Strike: Stack this Strike next to Nick Fury. Then demolish each player once for each Strike stacked here.
Attack: 9
VP: 6

''Bounty on Fury's Head''
'''Fight''': KO any number of your Hydra Allies. For each Ally you KO'd this way, you may gain a Madame HYDRA.

''Purge Hydra''
'''Fight''': Each other player reveals their hand and discards two Hydra Allies.

''The Avengers Initiative''
'''Fight''': Each other player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Ally or chooses an Avengers Adversary from their Victory Pile and it enters the Bridge.

''Total Fury''
'''Fight''': Defeat an Adversary whose Attack is less than the number of Hydra Allies in the KO pile.

"
Odin	"

'''Always Leads''': Asgardian Warriors.
Odin gets +1 Attack for each Asgardian Warrior in the city and in the Overrun Pile.
Command Strike: Each player puts an Asgardian Warrior from their Victory Pile into an empty city space. Any player who cannot do so gains a Bindings.
Attack: 10+
VP: 6

''Divine Justice''
'''Fight''': Each other player with a Bindings in their discard pile gains another Bindings.

''Might of Valhalla''
'''Fight''': Draw a card for each Asgardian Warrior in your Victory Pile.

''Riches of Asgard''
'''Fight''': You get +1 Recruit for each Asgardian Warrior in your Victory Pile.

''Ride of the Valkyries''
'''Fight''': Each other player reveals a Foes of Asgard Ally or discards a card for each Asgardian Warrior in the Overrun Pile.

"
Professor X	"

'''Always Leads''': X-men First Class.
Command Strike: Choose the two highest-cost Allies in the Lair. Stack them next to Professor X as ""Telepathic Pawns."" Professor X gets +1 Attack for each Ally stacked next to him. Players can recrut the top Ally in the stack next to Professor X.
Attack: 8
VP: 6

''Cerebro Device''
'''Fight''': Reveal the top three cards of the Adversary Deck. Play any Adversaries you revealed that have ""X-Treme Attack"". Put the rest back in random order.

''Mental Dominance''
'''Fight''': Stack the top three cards of the Ally Deck next to Professor X in random order as ""Telepathic Pawns.""

''Mightiest Mutant Mind''
'''Fight''': Each other player reveals a Brotherhood Ally or stacks a non-grey Ally from their hand next to Professor X as a ""Telepathic Pawn.""

''Telepathic Imprisonment''
'''Fight''': Each other player reveals a Brotherhood Ally or gains a Bindings.



"
Supreme Intelligence of the Kree	"

'''Always Leads''': Kree Starforce
'''Master Strike''': The Supreme Intelligence gains a Shard. Then each player reveals their hand and discards each with cost equal to, and cost one higher than, the number of Shards on the Supreme Intelligence.
Attack: 9
VP: 6

''Combined Knowledge of All Kree''
'''Fight''': The Supreme Intelligence gains a Shard for each Kree Villain in the city and/or the Escape Pile.

''Cosmic Omniscience''
'''Fight''': The Supreme Intelligence gains a Shard for each Master Strike in the KO pile.

''Countermeasure Protocols''
'''Fight''': The Supreme Intelligence gains a Shard for each Mastermind Tactic (including this one) in any player's Victory Pile.

''Guide Kree Evolution''
'''Fight''': The Supreme Intelligence and Kree Villains in the city each gain a Shard.

"
Thanos	"

'''Always Leads''': Infinity Gems
Thanos gets -2 Attack for each Infinity Gem Artifact card controlled by any player.
'''Master Strike''': Each player reveals their hand and puts one of their non-grey Heroes next to Thanos in a ""Bound Souls"" pile.
Attack: 24
VP: 7

''Centuries of Envy''
'''Fight''': Each other player discards an Infinity Gem Artifact card they control.

''God of Death''
'''Fight''': Each other player reveals their hand and gains a Wound for each card that player has with the same card name as any card in Thanos' Bound Souls pile.

''Keeper of Souls''
'''Fight''': Gain a Hero from Thanos' Bound Souls pile. Then each other player puts a non-grey Hero from their discard pile into Thanos' Bound Souls pile.

''The Mad Titan''
'''Fight''': Each other player reveals their hand and discards all cards with the same card name as any card in Thanos' Bound Souls pile.



"
Uru-Enchanted Iron Man	"

'''Always Leads''': The Mighty.
Command Strike: Demolish each player. Then stack this Strike next to Iron Man. Uru-Enchanted Iron Man has an Uru-Enchanted Weapon for each Strike stacked here.
Attack: 7*
VP: 6

''Armor of the Destroyer''
'''Fight''': For each https://cf.geekdo-static.com/mbs/mb_26287_0.png Ally you have, demolish each other player.

''Pepper Potts in Rescue Armor''
'''Fight''': A Bystander from the Bystander Stack becomes a Command Strike that takes effect immediately.

''Quantum Inventions''
'''Fight''': Draw two cards. Then, if you reveal a https://cf.geekdo-static.com/mbs/mb_26287_0.png card, draw two more cards.

''Repulsor Coils''
'''Fight''': Each other player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png ally or gains a Bindings.



"
Madelyne Pryor, Goblin Queen	"

Bystanders captured by Madelyne are ""Demon Goblin"" Villains with 2 Attack. You can fight them to rescue them as Bystanders. You can't fight her while she has any Demon Goblins.
'''Always Leads''': Limbo
'''Master Strike''': Madelyne captures 4 Bystanders. If she already had any Bystanders before that, then each player gains a Wound.
Attack: 10*
VP: 6

''City of Demon Goblins''
'''Fight''': Madelyne captures five Bystanders.

''Corrupted Clone of Jean Grey''
'''Fight''': Each other player reveals an X-Men Hero or gains a Wound.

''Everyone's a Demon on the Inside''
'''Fight''': Madelyne captures a Bystander from each other player's Victory Pile.

''Gather the Harvest''
'''Fight''': For each Limbo Villain in the city and/or Escape Pile, Madelyne captures a Bystander.

"
Nimrod, Super Sentinel	"

You can't fight Nimrod unless you made at least 6 Recruit this turn.
'''Always Leads''': Sentinel Territories
'''Master Strike''': Each player who does not reveal a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero must choose Recruit or Attack, then discard all their cards with that icon.
Attack: 6*
VP: 6

''Adapt and Destroy''
'''Fight''': Choose Recruit or Attack. Each other player reveals their hand and discards a card with that icon.

''Detect Mutation''
'''Fight''': Choose Recruit or Attack. Then, reveal the top card of your deck. If that card has that icon, draw it and repeat this process.

''Scatter the Mutants''
'''Fight''': Choose Recruit or Attack. Put all Heroes from the HQ with that icon on the bottom of the Hero Deck.

''Teleport and Incarcerate''
'''Fight''': Choose Recruit or Attack. Then, reveal the top card of that Hero Deck. If that card has that icon, gain that card, and Teleport it.

"
Wasteland Hulk	"

Wasteland Hulk gets +3 Attack for each of his Mastermind Tactics among all players' Victory Piles.
'''Always Leads''': Wasteland
'''Master Strike''': Cross-Dimensional Hulk Rampage
Attack: 7+
VP: 6

''Brutal Beating''
'''Fight''': Each other player counts the number of Wounds in their discard pile, then discards that many cards.

''Memories of Pain''
'''Fight''': Each other player puts two Wounds from their discard pile on top of their deck.

''Radioactive Regeneration''
'''Fight''': KO up to two Wounds from your hand and/or discard pile.

''Revert to Bruce Banner''
'''Fight''': You gain a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero from the HQ for free.

"
Zombie Green Goblin	"

Zombie Green Goblin gets +1 Attack for each Hero in the KO pile that costs 7 or more.
'''Always Leads''': The Deadlands
'''Master Strike''': Rise of the Living Dead. KO each Hero in the HQ that costs 7 or more. Then, each player discards a card for each Hero in the KO pile that costs 7 or more.
Attack: 11+
VP: 6

''Army of Cadavers''
'''Fight''': Rise of the Living Dead (this effect never makes Mastermind Tactics return.) Then, each other player discards a card for each Villain in the city that has ""Rise of the Living Dead.""

''The Hungry Dead''
'''Fight''': Rise of the Living Dead (this effect never makes Mastermind Tactics return.) Then, each other player gains a Wound if there are any Villains in the city with ""Rise of the Living Dead"".

''Love to Have You for Dinner''
'''Fight''': Rise of the Living Dead (this effect never makes Mastermind Tactics return.) Then, reveal the top 5 cards of the Hero Deck. KO all those Heroes that cost 7 or more. Put the rest on the bottom of the Hero Deck in random order.

''Reign of Terror''
'''Fight''': Rise of the Living Dead (this effect never makes Mastermind Tactics return.) Then, put all Heroes from the HQ that cost 6 or less on the bottom of the Hero Deck.



"
Immortal Emperor Zheng-Zhu	"

7th Circle of Kung-Fu
'''Always Leads''': K'un-Lun
'''Master Strike''': Each player reveals a Hero that costs 7 or more, or they discard down to 3 cards.
Attack: 7+
VP: 5

''Ultimate Kung-Fu Mastery''
'''Fight''': Each other player reveals a card with ""Circle of Kung-Fu"" from their Victory Pile or gains a Wound.

''Emperor's Justice''
'''Fight''': Each other player reveals a Marvel Knight Hero or gains a Wound.

''Humble the Pretenders''
'''Fight''': Each other player reveals a Marvel Knight Hero or discards a card that costs less than 7.

''Imperial Edict''
'''Fight''': Choose any number of Heroes from the HQ. Put them on the bottom of the Hero Deck in random order.

"
King Hyperion	"

'''Always Leads''': Utopolis
'''Master Strike''': King Hyperion enters the city if he was not already there. Then, he '''charges''' three spaces.
Escape: Each player gains a wound. Put King Hyperion on the Mastermind space.
Attack: 12
VP: 6

''Worshipped by Millions''
'''Fight''': If King Hyperion is in the city, put him back on the Mastermind space and shuffle this Tactic back into his Tactics. If you do, rescue six Bystanders.

''Royal Treasury''
'''Fight''': If King Hyperion is in the city, put him back on the Mastermind space and shuffle this Tactic back into his Tactics. If you do, you get +5 Recruit.

''Monarch of Utopolis''
'''Fight''': If King Hyperion is in the city, put him back on the Mastermind space and shuffle this Tactic back into his Tactics. If you do, when you drew a new hand of cards at the end of this turn, draw three extra cards.

''Rule with an Iron Fist''
'''Fight''': If King Hyperion is in the city, put him back on the Mastermind space and shuffle this Tactic back into his Tactics. If you do, you may defeat a Villain in the city for free.

"
Shiklah, the Demon Bride	"

'''Always Leads''': Monster Metropolis
'''Master Strike''': Reveal the top three cards of the Villain Deck. Put all the Scheme Twists you revealed on top of the Villain Deck. Put the rest on the bottom of that deck in random order.
Attack: 9
VP: 6

''Enslavement Beam''
'''Fight''': '''Fateful Resurrection'''. If she resurrects, rescue four bystanders.

''Shiklah's Husband, Deadpool''
'''Fight''': Gain this as a Hero.
---
(Unaffiliated)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
You get +1 Attack for each Hero with an odd-numbered cost you played this turn. ''(0 is even.)''
5+ Attack

''Drain Life''
'''Fight''': '''Fateful Resurrection'''. If she resurrects, defeat a Villain in the city for free.

''Infernal Power''
'''Fight''': '''Fateful Resurrection'''. If she resurrects, draw two cards.

"
Spider-Queen	"

Spider-Queen gets +1 Attack for each Bystander in the Escape pile.
'''Always Leads''': Spider-Infected
'''Master Strike''': Each player puts a Spider-Infected from their Victory Pile into an empty city space. Any player who cannot do so gains a Wound.
Attack: 8+
VP: 6

''Sonic Scream''
'''Fight''': Reveal the top eight cards of the Villain Deck. Put all the Bystanders you revealed into the Escape pile. Put the rest on the bottom of the Villain Deck in random orders.

''Infect the Entire City''
'''Fight''': Put a Bystander from the Bystander Deck into the Escape Pile. Then, each Spider-Infected in the city captures a Bystander.

''Control Arachnid Genes''
'''Fight''': You may gain a Spider-Friend Hero from the HQ.

''Web the Skyscrapers''
'''Fight''': Each other player reveals a Spider-Friend Hero or puts a Bystander from their Victory Pile into the Escape pile.



"
